Ano,Mes,Dengue,Zika,Chik,LeishVis,LeishTeg,LeishT,Precipt,AvgTemp,MaxTemp,MinTemp,AvgHumid,AvgWin,Season,Season2
2014,Janeiro,2901,,,15,31,46,138.9,25.12,25.86,24.41,64.82,1.56,Summer,Wet
2014,Fevereiro,10196,,,20,32,52,139.67,25.79,26.49,25.1,58.32,1.74,Summer,Wet
2014,Marco,29647,,,18,29,47,150,23.86,24.47,23.23,70.44,1.74,Summer,Wet
2014,Abril,85767,,,20,22,42,103.92,22.12,22.69,21.59,74.9,1.49,Fall,Dry
2014,Maio,62901,,,15,16,31,57.2,19.72,20.28,19.18,70.97,1.44,Fall,Dry
2014,Junho,17694,,,10,28,38,24.93,19.5,20.07,18.96,69.86,1.51,Fall,Dry
2014,Julho,5252,,,8,39,47,68.92,18.24,18.8,17.7,68.52,1.59,Winter,Dry
2014,Agosto,1967,,,13,27,40,32.5,20.45,21.13,19.79,56.19,1.66,Winter,Dry
2014,Setembro,1623,,,16,47,63,87.1,22.09,22.74,21.47,62.12,1.99,Winter,Dry
2014,Outubro,1966,,,15,40,55,38.96,23.69,24.41,23.01,55.44,2.01,Spring,Wet
2014,Novembro,2505,,,16,30,46,177.6,22.99,23.59,22.44,71.76,1.83,Spring,Wet
2014,Dezembro,5052,,,16,44,60,184.97,23.91,24.52,23.34,72.86,1.8,Spring,Wet
2015,Janeiro,35392,,,12,48,60,144.73,25.96,26.66,25.29,66.4,1.56,Summer,Wet
2015,Fevereiro,110163,,,15,34,49,187.73,24.08,24.71,23.49,75.72,1.57,Summer,Wet
2015,Marco,246796,,,17,37,54,244.8,22.96,23.51,22.45,78.89,1.4,Summer,Wet
2015,Abril,205787,,,13,44,57,96.57,22.23,22.82,21.68,74.6,1.48,Fall,Dry
2015,Maio,101244,,,11,38,49,83.4,19.56,20.07,19.08,77.49,1.37,Fall,Dry
2015,Junho,24719,,,18,37,55,34.33,19.18,19.74,18.64,72.01,1.49,Fall,Dry
2015,Julho,5866,,,16,39,55,86.92,19.21,19.69,18.65,72.92,1.46,Winter,Dry
2015,Agosto,2715,,,10,47,57,16.55,20.96,21.62,20.31,59.51,1.48,Winter,Dry
2015,Setembro,1766,,,13,33,46,157.28,22.91,23.54,22.31,60.74,1.53,Winter,Dry
2015,Outubro,2038,,,11,44,55,130.84,24.27,24.92,23.67,63.48,1.81,Spring,Wet
2015,Novembro,3749,,,12,41,53,258.67,23.41,23.95,22.91,78.48,1.48,Spring,Wet
2015,Dezembro,9725,,,18,36,54,197.97,24.17,24.77,23.61,76.87,1.58,Spring,Wet
2016,Janeiro,31384,545,,12,54,66,253.4,23.57,24.12,23.04,78.27,1.81,Summer,Wet
2016,Fevereiro,52426,2006,,12,46,58,198.53,24.87,25.5,24.29,75.7,1.24,Summer,Wet
2016,Marco,56611,2874,,16,39,55,194.44,23.89,24.48,23.33,76.29,1.34,Summer,Wet
2016,Abril,38700,2475,,15,24,39,30.03,24.27,24.91,23.66,63.92,1.22,Fall,Dry
2016,Maio,15151,1145,,9,32,41,81.9,19,19.55,18.48,75.9,1.41,Fall,Dry
2016,Junho,3018,324,,9,30,39,97.2,16.85,17.39,16.32,73.34,1.14,Fall,Dry
2016,Julho,1102,175,,18,22,40,5.63,18.75,19.4,18.13,61.63,1.5,Winter,Dry
2016,Agosto,609,166,,19,36,55,60.8,19.69,20.35,19.07,62.78,1.84,Winter,Dry
2016,Setembro,547,170,,10,22,32,19.48,20.66,21.31,20.03,62.27,1.91,Winter,Dry
2016,Outubro,785,150,,12,23,35,124.5,22.16,22.8,21.56,69.37,1.99,Spring,Wet
2016,Novembro,1124,204,,16,22,38,69.7,22.59,23.22,22,71.48,1.83,Spring,Wet
2016,Dezembro,1130,221,,15,16,31,112.84,23.93,24.6,23.3,72.06,1.77,Spring,Wet
2017,Janeiro,966,240,667,21,28,49,306.56,23.97,24.56,23.41,78.31,1.48,Summer,Wet
2017,Fevereiro,1026,201,463,13,28,41,92.12,24.9,25.54,24.28,67.57,1.73,Summer,Wet
2017,Marco,1186,228,478,19,21,40,151.8,23.43,24.05,22.88,73.14,1.57,Summer,Wet
2017,Abril,930,140,309,14,16,30,106.36,21.84,22.39,21.32,74.58,1.55,Fall,Dry
2017,Maio,692,138,346,18,30,48,117.4,20.44,20.96,19.96,75.9,1.32,Fall,Dry
2017,Junho,436,75,228,13,20,33,76.6,18.68,16.75,15.65,69.52,1.48,Fall,Dry
2017,Julho,310,71,200,12,22,34,4.97,17.68,18.33,17.09,63.5,1.72,Winter,Dry
2017,Agosto,371,81,266,22,29,51,48.8,19.69,20.28,19.11,63.2,1.77,Winter,Dry
2017,Setembro,612,107,372,14,20,34,23.17,23.13,23.86,22.46,50.14,1.66,Winter,Dry
2017,Outubro,981,128,399,13,35,48,151.53,23.06,23.68,22.48,65.62,1.94,Spring,Wet
2017,Novembro,935,114,398,13,26,39,185.68,22.43,23.06,21.85,70.65,1.97,Spring,Wet
2017,Dezembro,961,131,346,12,19,31,219.84,23.78,24.39,23.22,73,1.67,Spring,Wet
2018,Janeiro,1165,151,490,15,29,44,264.04,23.72,24.33,23.17,74.04,1.65,Summer,Wet
2018,Fevereiro,1266,148,387,21,24,45,145.6,23.35,23.95,22.79,72.22,1.6,Summer,Wet
2018,Marco,1964,161,355,14,30,44,188.63,24.66,25.29,24.08,73.36,1.4,Summer,Wet
2018,Abril,2381,138,292,13,15,28,36.87,22.42,23.06,21.85,68.58,1.42,Fall,Dry
2018,Maio,2321,122,264,12,31,43,25.73,20.36,21,19.73,66.01,1.43,Fall,Dry
2018,Junho,1129,71,193,12,17,29,32.27,19.77,20.33,19.26,67.73,1.33,Fall,Dry
2018,Julho,790,93,177,12,22,34,15.52,19.84,20.5,19.2,57.57,1.42,Winter,Dry
2018,Agosto,577,132,197,5,31,36,61.64,18.54,19.11,17.99,66.19,1.71,Winter,Dry
2018,Setembro,436,89,223,10,24,34,76,21.25,21.87,20.65,65.22,1.78,Winter,Dry
2018,Outubro,779,107,275,12,20,32,168.43,22.33,22.87,21.81,72.45,1.82,Spring,Wet
2018,Novembro,1612,101,309,12,23,35,190.25,22.66,23.23,22.14,70.54,2.07,Spring,Wet
2018,Dezembro,3863,130,387,7,16,23,162.87,24.56,25.25,23.92,67.15,1.59,Spring,Wet
2019,Janeiro,20412,230,536,12,32,44,168.33,25.85,26.55,25.19,68.72,1.46,Summer,Wet
2019,Fevereiro,46517,480,839,12,22,34,260.03,24.22,24.84,23.65,73.57,1.55,Summer,Wet
2019,Marco,64386,514,841,11,21,32,192.97,23.66,24.26,23.09,75.57,1.37,Summer,Wet
2019,Abril,111775,714,912,15,38,53,143.33,23.19,23.76,22.65,73.19,1.21,Fall,Dry
2019,Maio,121973,698,863,7,31,38,127.6,21.35,21.89,20.83,73.59,1.21,Fall,Dry
2019,Junho,42806,274,415,7,33,40,34.4,20.03,20.64,19.46,66.53,1.27,Fall,Dry
2019,Julho,13669,143,243,9,18,27,78.28,18.25,18.88,17.65,65.23,1.32,Winter,Dry
2019,Agosto,4493,101,179,11,28,39,39.24,19.52,20.14,18.92,64.22,1.7,Winter,Dry
2019,Setembro,2843,69,190,15,32,47,101.85,21.95,22.52,21.41,66.91,1.8,Winter,Dry
2019,Outubro,3126,77,220,7,36,43,109.3,24,24.69,23.36,64.25,1.79,Spring,Wet
2019,Novembro,4279,71,177,9,23,32,154.87,23.54,24.16,22.96,70.58,1.91,Spring,Wet
2019,Dezembro,7002,80,156,4,20,24,169.33,23.85,24.44,23.29,72.84,1.59,Spring,Wet
2020,Janeiro,32499,189,357,9,37,46,277.23,24.23,24.85,23.64,74.56,1.61,Summer,Wet
2020,Fevereiro,57642,245,335,10,38,48,370.27,23.23,23.79,22.71,79.88,1.61,Summer,Wet
2020,Marco,49302,295,382,6,30,36,89.7,23.17,23.82,22.57,70.35,1.6,Summer,Wet
2020,Abril,32141,108,152,5,16,21,28.9,21.56,22.2,20.94,67.33,1.37,Fall,Dry
2020,Maio,17419,80,132,9,26,35,34.2,18.75,19.4,18.15,65.39,1.27,Fall,Dry
2020,Junho,6779,46,131,10,22,32,151.24,20.2,20.75,19.67,69.13,1.46,Fall,Dry
2020,Julho,3247,37,119,14,27,41,38.25,19.63,20.25,19.05,63.31,1.49,Winter,Dry
2020,Agosto,1701,29,96,9,47,56,92.44,19.32,19.93,18.75,62.78,1.62,Winter,Dry
2020,Setembro,1413,35,110,14,28,42,26.12,23.85,24.49,23.24,55.24,1.74,Winter,Dry
2020,Outubro,1277,29,119,6,28,34,131.24,23.92,24.58,23.32,63.49,1.92,Spring,Wet
2020,Novembro,1184,28,107,6,11,17,106.44,23.21,23.92,22.53,63.71,1.74,Spring,Wet
2020,Dezembro,2643,38,204,9,25,34,291.4,23.75,24.36,23.2,75.96,1.46,Spring,Wet
2021,Janeiro,4675,44,353,5,28,33,210.76,24.54,25.12,24,75.32,1.57,Summer,Wet
2021,Fevereiro,16861,101,2188,6,28,34,168.04,23.79,24.42,23.2,73.84,1.74,Summer,Wet
2021,Marco,35154,121,8154,7,21,28,126.72,24.31,24.92,23.73,72.64,1.51,Summer,Wet
2021,Abril,48838,189,7451,7,27,34,50.68,21.55,22.15,20.98,68.28,1.25,Fall,Dry
2021,Maio,27810,152,4199,4,23,27,54.68,20.08,20.68,19.5,66.55,1.18,Fall,Dry
2021,Junho,10228,68,1856,7,26,33,32.45,18.53,19.06,18.02,72.49,1.55,Fall,Dry
2021,Julho,3062,59,770,8,25,33,11.45,17.11,17.89,16.47,54.54,1.42,Winter,Dry
2021,Agosto,1610,36,455,6,36,42,19.1,21.9,22.64,21.19,53.6,1.53,Winter,Dry
2021,Setembro,1425,31,341,14,29,43,21.8,24.34,24.95,23.6,53.7,2.01,Winter,Dry
2021,Outubro,1253,42,271,8,35,43,161.6,21.44,22.05,20.88,71.45,1.87,Spring,Wet
2021,Novembro,1952,60,315,10,27,37,119.65,23.48,24.16,22.83,60.87,1.77,Spring,Wet
2021,Dezembro,5030,61,390,6,24,30,162.65,23.41,24.1,22.76,66.16,1.53,Spring,Wet
2022,Janeiro,6587,80,312,11,19,30,257.96,23.57,24.31,23.05,75.11,1.15,Summer,Wet
2022,Fevereiro,13776,94,354,6,25,31,145.95,24.42,25.48,24.06,69.28,1.21,Summer,Wet
2022,Marco,60634,110,526,8,37,45,186.05,24.88,25.73,24.33,68.01,1.33,Summer,Wet
2022,Abril,110561,199,520,7,19,26,78.72,22.95,23.58,22.33,67.94,1.33,Fall,Dry
2022,Maio,100059,187,1117,18,23,41,53.9,18.73,19.33,18.18,67.47,1.36,Fall,Dry
2022,Junho,27824,83,500,9,16,25,54.5,18.43,18.99,17.9,69.65,1.19,Fall,Dry
2022,Julho,10913,63,409,8,18,26,8.53,20.34,21,19.71,57.06,1.34,Winter,Dry
2022,Agosto,5864,56,335,11,26,37,50.28,18.88,19.5,18.3,62.48,1.8,Winter,Dry
2022,Setembro,3071,56,243,10,24,34,117.6,19.42,20.02,18.86,66.92,1.86,Winter,Dry
2022,Outubro,3021,56,266,14,20,34,139.67,22.44,23.06,21.87,68.16,1.77,Spring,Wet
2022,Novembro,3395,51,263,4,19,23,134.6,21.53,22.21,20.88,65.68,1.85,Spring,Wet
2022,Dezembro,4694,69,277,11,15,26,229.83,23.09,23.7,22.52,73.19,1.69,Spring,Wet
2023,Janeiro,13131,61,403,11,24,35,292.24,23.22,23.83,22.67,75.94,1.57,Summer,Wet
2023,Fevereiro,33840,118,595,8,20,28,291.84,23.71,24.32,23.14,75.92,1.47,Summer,Wet
2023,Marco,83951,172,1219,14,34,48,232.52,23.96,24.59,23.37,73.06,1.34,Summer,Wet
2023,Abril,95912,134,1561,7,20,27,145.52,21.54,22.1,21.01,73.85,1.33,Fall,Dry
2023,Maio,63687,131,2051,11,33,44,52.1,19.98,20.58,19.41,68.42,1.19,Fall,Dry
2023,Junho,16274,67,957,4,24,28,80.3,18.37,18.97,17.81,67.95,1.17,Fall,Dry
2023,Julho,4688,54,510,11,24,35,27.97,19.22,19.83,18.64,64,1.49,Winter,Dry
2023,Agosto,3152,53,417,8,34,42,48.87,21.09,21.73,20.47,61.61,1.72,Winter,Dry
2023,Setembro,2879,54,349,7,28,35,44.03,24.31,24.99,23.66,58.37,1.9,Winter,Dry
2023,Outubro,3734,63,372,4,33,37,216,23.58,24.16,23.05,71.7,1.85,Spring,Wet
2023,Novembro,5217,72,445,7,35,42,127.2,24.92,25.56,24.3,64.7,1.86,Spring,Wet
2023,Dezembro,10338,65,1074,9,19,28,97.25,25.61,26.32,24.95,66.18,1.73,Spring,Wet
2024,Janeiro,49542,88,1729,7,35,42,234.3,24.62,25.3,23.99,70.59,1.65,Summer,Wet
2024,Fevereiro,168723,258,3158,10,30,40,136,24.98,25.61,24.37,71.73,1.45,Summer,Wet
2024,Marco,424639,239,4467,5,26,31,201.2,24.82,25.41,24.27,74.81,1.5,Summer,Wet
2024,Abril,619390,290,4796,2,20,22,64.85,24.05,24.62,23.51,70.97,1.5,Fall,Dry
2024,Maio,575421,267,5156,8,24,32,54.36,22.27,22.88,21.7,64.99,1.49,Fall,Dry
2024,Junho,187046,163,3142,2,10,12,12.8,21.16,21.81,20.54,59.56,1.44,Fall,Dry
2024,Julho,55293,107,1831,6,7,13,57.64,20.09,20.72,19.53,60.6,1.39,Winter,Dry
2024,Agosto,23159,98,1150,4,25,29,49.7,20.19,20.87,19.52,55.6,1.62,Winter,Dry
2024,Setembro,15212,116,1094,2,24,26,42.44,24.2,24.9,23.54,55.26,1.72,Winter,Dry
2024,Outubro,14225,106,1137,9,37,46,132.4,23.41,24.04,22.83,69.11,1.98,Spring,Wet
2024,Novembro,16687,97,1628,4,26,30,199.32,23.73,24.32,23.17,70.04,1.8,Spring,Wet
2024,Dezembro,32496,163,2068,9,20,29,233.52,24.12,24.71,23.57,73.59,1.75,Spring,Wet
