Year;Month;Dengue;Zika;Chikungunya;LeishVisc;LeishTeg;Precipitation;Temp_mean;Temp_max;Temp_min;RH;Wind_mean
2017;Janeiro;966;240;667;21;28;306.6;24.0;24.6;23.4;78;1.5
2017;Fevereiro;1026;201;463;13;28;92.1;24.9;25.5;24.3;68;1.7
2017;Março;1186;228;478;19;21;151.8;23.4;24.0;22.9;73;1.6
2017;Abril;930;140;309;14;16;106.4;21.8;22.4;21.3;75;1.5
2017;Maio;692;138;346;18;30;117.4;20.4;21.0;20.0;76;1.3
2017;Junho;436;75;228;13;20;76.6;18.7;16.8;15.6;70;1.5
2017;Julho;310;71;200;12;22;5.0;17.7;18.3;17.1;63;1.7
2017;Agosto;371;81;266;22;29;48.8;19.7;20.3;19.1;63;1.8
2017;Setembro;612;107;372;14;20;23.2;23.1;23.9;22.5;50;1.7
2017;Outubro;981;128;399;13;35;151.5;23.1;23.7;22.5;66;1.9
2017;Novembro;935;114;398;13;26;185.7;22.4;23.1;21.8;71;2.0
2017;Dezembro;961;131;346;12;19;219.8;23.8;24.4;23.2;73;1.7
2018;Janeiro;1165;151;490;15;29;264.0;23.7;24.3;23.2;74;1.6
2018;Fevereiro;1266;148;387;21;24;145.6;23.3;24.0;22.8;72;1.6
2018;Março;1964;161;355;14;30;188.6;24.7;25.3;24.1;73;1.4
2018;Abril;2381;138;292;13;15;36.9;22.4;23.1;21.8;69;1.4
2018;Maio;2321;122;264;12;31;25.7;20.4;21.0;19.7;66;1.4
2018;Junho;1129;71;193;12;17;32.3;19.8;20.3;19.3;68;1.3
2018;Julho;790;93;177;12;22;15.5;19.8;20.5;19.2;58;1.4
2018;Agosto;577;132;197;5;31;61.6;18.5;19.1;18.0;66;1.7
2018;Setembro;436;89;223;10;24;76.0;21.3;21.9;20.6;65;1.8
2018;Outubro;779;107;275;12;20;168.4;22.3;22.9;21.8;72;1.8
2018;Novembro;1612;101;309;12;23;190.3;22.7;23.2;22.1;71;2.1
2018;Dezembro;3863;130;387;7;16;162.9;24.6;25.3;23.9;67;1.6
2019;Janeiro;20412;230;536;12;32;168.3;25.9;26.5;25.2;69;1.5
2019;Fevereiro;46517;480;839;12;22;260.0;24.2;24.8;23.7;74;1.5
2019;Março;64386;514;841;11;21;193.0;23.7;24.3;23.1;76;1.4
2019;Abril;111775;714;912;15;38;143.3;23.2;23.8;22.6;73;1.2
2019;Maio;121973;698;863;7;31;127.6;21.3;21.9;20.8;74;1.2
2019;Junho;42806;274;415;7;33;34.4;20.0;20.6;19.5;67;1.3
2019;Julho;13669;143;243;9;18;78.3;18.3;18.9;17.7;65;1.3
2019;Agosto;4493;101;179;11;28;39.2;19.5;20.1;18.9;64;1.7
2019;Setembro;2843;69;190;15;32;101.9;22.0;22.5;21.4;67;1.8
2019;Outubro;3126;77;220;7;36;109.3;24.0;24.7;23.4;64;1.8
2019;Novembro;4279;71;177;9;23;154.9;23.5;24.2;23.0;71;1.9
2019;Dezembro;7002;80;156;4;20;169.3;23.9;24.4;23.3;73;1.6
2020;Janeiro;32499;189;357;9;37;277.2;24.2;24.9;23.6;75;1.6
2020;Fevereiro;57642;245;335;10;38;370.3;23.2;23.8;22.7;80;1.6
2020;Março;49302;295;382;6;30;89.7;23.2;23.8;22.6;70;1.6
2020;Abril;32141;108;152;5;16;28.9;21.6;22.2;20.9;67;1.4
2020;Maio;17419;80;132;9;26;34.2;18.8;19.4;18.1;65;1.3
2020;Junho;6779;46;131;10;22;151.2;20.2;20.8;19.7;69;1.5
2020;Julho;3247;37;119;14;27;38.3;19.6;20.2;19.1;63;1.5
2020;Agosto;1701;29;96;9;47;92.4;19.3;19.9;18.7;63;1.6
2020;Setembro;1413;35;110;14;28;26.1;23.9;24.5;23.2;55;1.7
2020;Outubro;1277;29;119;6;28;131.2;23.9;24.6;23.3;63;1.9
2020;Novembro;1184;28;107;6;11;106.4;23.2;23.9;22.5;64;1.7
2020;Dezembro;2643;38;204;9;25;291.4;23.8;24.4;23.2;76;1.5
2021;Janeiro;4675;44;353;5;28;210.8;24.5;25.1;24.0;75;1.6
2021;Fevereiro;16861;101;2188;6;28;168.0;23.8;24.4;23.2;74;1.7
2021;Março;35154;121;8154;7;21;126.7;24.3;24.9;23.7;73;1.5
2021;Abril;48838;189;7451;7;27;50.7;21.5;22.2;21.0;68;1.3
2021;Maio;27810;152;4199;4;23;54.7;20.1;20.7;19.5;67;1.2
2021;Junho;10228;68;1856;7;26;32.5;18.5;19.1;18.0;72;1.5
2021;Julho;3062;59;770;8;25;11.5;17.1;17.9;16.5;55;1.4
2021;Agosto;1610;36;455;6;36;19.1;21.9;22.6;21.2;54;1.5
2021;Setembro;1425;31;341;14;29;21.8;24.3;25.0;23.6;54;2.0
2021;Outubro;1253;42;271;8;35;161.6;21.4;22.0;20.9;71;1.9
2021;Novembro;1952;60;315;10;27;119.7;23.5;24.2;22.8;61;1.8
2021;Dezembro;5030;61;390;6;24;162.7;23.4;24.1;22.8;66;1.5
2022;Janeiro;6587;80;312;11;19;258.0;23.6;24.3;23.1;75;1.1
2022;Fevereiro;13776;94;354;6;25;146.0;24.4;25.5;24.1;69;1.2
2022;Março;60634;110;526;8;37;186.1;24.9;25.7;24.3;68;1.3
2022;Abril;110561;199;520;7;19;78.7;22.9;23.6;22.3;68;1.3
2022;Maio;100059;187;1117;18;23;53.9;18.7;19.3;18.2;67;1.4
2022;Junho;27824;83;500;9;16;54.5;18.4;19.0;17.9;70;1.2
2022;Julho;10913;63;409;8;18;8.5;20.3;21.0;19.7;57;1.3
2022;Agosto;5864;56;335;11;26;50.3;18.9;19.5;18.3;62;1.8
2022;Setembro;3071;56;243;10;24;117.6;19.4;20.0;18.9;67;1.9
2022;Outubro;3021;56;266;14;20;139.7;22.4;23.1;21.9;68;1.8
2022;Novembro;3395;51;263;4;19;134.6;21.5;22.2;20.9;66;1.9
2022;Dezembro;4694;69;277;11;15;229.8;23.1;23.7;22.5;73;1.7
2023;Janeiro;13131;61;403;11;24;292.2;23.2;23.8;22.7;76;1.6
2023;Fevereiro;33840;118;595;8;20;291.8;23.7;24.3;23.1;76;1.5
2023;Março;83951;172;1219;14;34;232.5;24.0;24.6;23.4;73;1.3
2023;Abril;95912;134;1561;7;20;145.5;21.5;22.1;21.0;74;1.3
2023;Maio;63687;131;2051;11;33;52.1;20.0;20.6;19.4;68;1.2
2023;Junho;16274;67;957;4;24;80.3;18.4;19.0;17.8;68;1.2
2023;Julho;4688;54;510;11;24;28.0;19.2;19.8;18.6;64;1.5
2023;Agosto;3152;53;417;8;34;48.9;21.1;21.7;20.5;62;1.7
2023;Setembro;2879;54;349;7;28;44.0;24.3;25.0;23.7;58;1.9
2023;Outubro;3734;63;372;4;33;216.0;23.6;24.2;23.0;72;1.9
2023;Novembro;5217;72;445;7;35;127.2;24.9;25.6;24.3;65;1.9
2023;Dezembro;10338;65;1074;9;19;97.3;25.6;26.3;25.0;66;1.7
2024;Janeiro;49542;88;1729;7;35;234.3;24.6;25.3;24.0;71;1.7
2024;Fevereiro;168723;258;3158;10;30;136.0;25.0;25.6;24.4;72;1.5
2024;Março;424639;239;4467;5;26;201.2;24.8;25.4;24.3;75;1.5
2024;Abril;619390;290;4796;2;20;64.9;24.1;24.6;23.5;71;1.5
2024;Maio;575421;267;5156;8;24;54.4;22.3;22.9;21.7;65;1.5
2024;Junho;187046;163;3142;2;10;12.8;21.2;21.8;20.5;60;1.4
2024;Julho;55293;107;1831;6;7;57.6;20.1;20.7;19.5;61;1.4
2024;Agosto;23159;98;1150;4;25;49.7;20.2;20.9;19.5;56;1.6
2024;Setembro;15212;116;1094;2;24;42.4;24.2;24.9;23.5;55;1.7
2024;Outubro;14225;106;1137;9;37;132.4;23.4;24.0;22.8;69;2.0
2024;Novembro;16687;97;1628;4;26;199.3;23.7;24.3;23.2;70;1.8
2024;Dezembro;32496;163;2068;9;20;233.5;24.1;24.7;23.6;74;1.8
